Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0007477,BP0004514,P,P,D3,P,1-Territory,,,WILHELM GILBANE JOINT VENTURE,WILHELM GILBANE JOINT VENTURE,1330 N SENATE AVENUE,INDIANAPOLIS,46202,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,019 ",$0 ,"($3,019)",,,
AD0007463,BP0004515,P,P,D3,P,7-Territory,,,HYATT PLACE,HOTEL REHABS,5500 WEST BRADBURY AVENUE,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$428 ,$0 ,($428),,,
AD0000001,BP0004518,A3,P,D3,P,2-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",JK PROPERTY SOLUTIONS INC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,"$2,542 ","$1,477,246 ","$1,479,788 ",$0 ,$0 ,"$1,479,788 ","$974,889 ","$633,308 ","$504,898 ",,,
AD0007500,BP0004532,P,P,D3,P,7-Territory,,,FLANNER BUCHANAN - MONTCALM,MOBI SUPPLY LLC,2020 MONTCALM STREET,INDIANAPOLIS,46202,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$382 ,$0 ,($382),,,
AD0007505,BP0004534,P,P,D3,P,7-Territory,,,FARE FOODS CORPORATION,FARE FOODS CORPORATION,1200 E 42ND STREET,INDIANAPOLIS,46205,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,760 ",$0 ,"($1,760)",,,
AD0007508,BP0004535,P,P,D3,P,7-Territory,,,AMERICOLD LOGISTICS,FISHER REFRIGERATION INC,3320 S ARLINGTON AVENUE,INDIANAPOLIS,46203,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,311 ",$0 ,"($1,311)",,,
AD0007511,BP0004536,P,P,D2,P,7-Territory,,,SOUTHWARK,SOUTHWARK,10401 E 59TH STREET,INDIANAPOLIS,46236,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,712 ",$0 ,"($1,712)",,,
AD0000001,BP0004538,A3,P,D3,P,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",AMOS EXTERIORS INC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,"$2,542 ","$1,477,246 ","$1,479,788 ",$0 ,$0 ,"$1,479,788 ","$974,889 ","$633,308 ","$504,898 ",,,
AD0007513,BP0004538,P,P,D3,P,1-Territory,,,AMOS EXTERIORS INC,AMOS EXTERIORS INC,7301 E 46TH STREET,INDIANAPOLIS,46226,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,804 ",$0 ,"($4,804)",,,
AD0007531,BP0004550,P,P,D3,P,1-Territory,,,"STINSON METAL WORKS, INC","STINSON METAL WORKS, INC",2525 N SHADELAND AVENUE,INDIANAPOLIS,46219,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$742 ,$0 ,($742),,,
AD0000001,BP0004552,A3,P,D3,P,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",8TH DAY DISTILLERY,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,"$2,542 ","$1,477,246 ","$1,479,788 ",$0 ,$0 ,"$1,479,788 ","$974,889 ","$633,308 ","$504,898 ",,,
AD0007536,BP0004552,P,P,D3,P,1-Territory,,,8TH DAY DISTILLERY,8TH DAY DISTILLERY,1125 BROOKSIDE AVENUE,INDIANAPOLIS,46202,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,030 ",$0 ,"($2,030)",,,
AD0007586,BP0004567,P,P,D3,P,7-Territory,,,NYB DISTRIBUTORS INC,NYB DISTRIBUTORS INC,8201 ZIONSVILLE ROAD,INDIANAPOLIS,46268,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$305 ,$0 ,($305),,,
AD0007610,BP0004578,P,P,P,P,7-Territory,,,OLE MEXICAN,OLE MEXICAN,5945 WEST 84TH STREET,INDIANAPOLIS,46278,Marion IN,,"$1,179 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,
AD0007636,BP0004590,P,P,D3,P,1-Territory,,,EDGE SYSTEMS GROUP LLC,EDGE SYSTEMS GROUP LLC,5340 COMMERCE CIRCLE,INDIANAPOLIS,46237,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$496 ,$0 ,($496),,,
AD0007637,BP0004591,P,P,P,P,1-Territory,,,VOLUMOD INDY LLC,VOLUMOD INDY LLC,3049 N POST ROAD,INDIANAPOLIS,46226,Marion IN,,"$103,416 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,
AD0000001,BP0004596,A3,P,C2,P,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",FULL BEAUTY BRANDS OPERATIONS LLC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,"$2,542 ","$1,477,246 ","$1,479,788 ",$0 ,$0 ,"$1,479,788 ","$974,889 ","$633,308 ","$504,898 ",,,
AD0007325,BP0004596,P,P,C2,P,1-Territory,,,FULL BEAUTY BRANDS,FULL BEAUTY BRANDS OPERATIONS LLC,2300 SOUTHEASTERN AVENUE,INDIANAPOLIS,46201,Marion IN,,"$17,049 ","$5,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$30,657 ",$0 ,"($30,657)",,,
AD0007654,BP0004597,P,P,D3,P,1-Territory,,,CIRCLE CITY INTERIORS,CIRCLE CITY INTERIORS,1401 S LYNHURST DRIVE,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$225 ,$0 ,($225),,,
