Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0001484,BP0001389,D3,D3,P,D3,1-Territory,,,SHERWIN WILLIAMS,SHERWIN WILLIAMS,3434 S EAST ST,INDIANAPOLIS,46227,Marion IN,,$0,$0,$0,$778,$778,$0,$0,$778,$0,$820,$778,,,
AD0000001,BP0001415,A3,D3,D3,D3,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.","RAY & MASCARI, INC.",5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001510,BP0001415,D3,D3,D3,D3,1-Territory,,,"RAY & MASCARI, INC.","RAY & MASCARI, INC.",324 S NEW JERSEY ST,INDIANAPOLIS,46204,Marion IN,,$0,$0,$1458,$0,$1458,$0,$0,$1458,$0,$9,$1458,,,
AD0001523,BP0001428,D3,D3,D3,D3,1-Territory,,,GLENROCK,GLENROCK,4330 HULL ST,INDIANAPOLIS,46226,Marion IN,,$0,$0,$0,$393,$393,$0,$0,$393,$1500,$246,($1107),,,
AD0001537,BP0001442,D3,D3,D3,D3,1-Territory,,,IMAGINEERING FINISHING TE,IMAGINEERING FINISHING TE,2719 N EMERSON AVE,INDIANAPOLIS,46218,Marion IN,,$0,$0,$0,$368,$368,$0,$0,$368,$548,$5050,($180),,,
AD0001550,BP0001455,D3,D3,P,P,1-Territory,,,INDIANAPOLIS AIRPORT AUTHORITY,INDIANAPOLIS AIRPORT AUTHORITY,7800 COL. H. WEIR COOK,INDIANAPOLIS,46241,Marion IN,,$16969,$0,$0,$4567,$4567,$0,$0,$4567,$0,$0,$4567,,,
AD0008696,BP0001455,D3,D3,P,P,1-Territory,,,INDIANAPOLIS AIRPORT AUTHORITY,INDIANAPOLIS AIRPORT AUTHORITY,2000 S BANNER AVENUE,INDIANAPOLIS,46241,Marion IN,,$0,$0,$0,$342,$342,$0,$0,$342,$0,$0,$342,,,
AD0001564,BP0001469,D3,D3,D3,D3,1-Territory,,,AAR CORPORATION,AAR CORPORATION,2825 W PERIMETER RD,INDIANAPOLIS,46241,Marion IN,,$0,$0,$0,$228,$228,$0,$0,$228,$0,$0,$228,,,
AD0005342,BP0001469,D3,D3,D3,D3,1-Territory,,,AAR CORPORATION,AAR CORPORATION,2745 S HOFFMAN RD,INDIANAPOLIS,46241,Marion IN,,$0,$0,$0,$2646,$2646,$0,$0,$2646,$2058,$4035,$588,,,
AD0001589,BP0001494,D3,D3,D3,P,1-Territory,,,NATARE CORPORATION,NATARE CORPORATION,5905 W 74th ST,INDIANAPOLIS,46278,Marion IN,,$0,$0,$0,$2187,$2187,$0,$0,$2187,$2326,$0,($139),,,
AD0001595,BP0001500,D3,D3,P,P,1-Territory,,,HUBLER FORD FRANKLIN,BRADLEY MANAGEMENT CO,8202 US 31 SOUTH,INDIANAPOLIS,46227,Marion IN,,$0,$0,$0,$235,$235,$0,$0,$235,$0,$0,$235,,,
AD0000001,BP0001510,A3,D3,D3,P,5-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",MIDWEST ROOFING SUPPLY,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0000001,BP0001513,A3,D3,C3,D3,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",MIDWEST ROOFING SUPPLY,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001608,BP0001513,D3,D3,C3,D3,1-Territory,,,MIDWEST ROOFING SUPPLY,MIDWEST ROOFING SUPPLY,3331 RATON COURT,INDIANAPOLIS,46226,Marion IN,,$0,$0,$273,$3276,$3549,$0,$0,$3549,$12862,$7661,($9313),,,
AD0008195,BP0001513,D3,D3,C3,D3,1-Territory,,,MIDWEST ROOFING SUPPLY,MIDWEST ROOFING SUPPLY,5220 W 76TH STREET,INDIANAPOLIS,46268,Marion IN,,$0,$0,$0,$475,$475,$0,$0,$475,$251,$0,$224,,,
AD0001619,BP0001524,D3,D3,D3,D3,1-Territory,,,THYSSENKRUPP ELEVATOR,THYSSENKRUPP ELEVATOR,8665 BASH ST,INDIANAPOLIS,46256,Marion IN,,$0,$0,$0,$418,$418,$0,$0,$418,$249,$478,$170,,,
AD0001644,BP0001549,D3,D3,D3,P,1-Territory,,,ASSET RECYCLING,ASSET RECYCLING,701 N HOLT AVE,INDIANAPOLIS,46241,Marion IN,,$0,$0,$0,$880,$880,$0,$0,$880,$327,$0,$553,,,
AD0008311,BP0001574,D3,D3,P,P,1-Territory,,,MARIAN UNIVERSITY,PARKER MACHINERY MOVERS,3200 COLD SPRING ROAD,INDIANAPOLIS,"",,,$0,$0,$0,$0,$0,$1338,$0,$1338,$0,$0,$1338,,,
AD0001669,BP0001574,P,D3,P,P,1-Territory,,,PARKER MACHINERY MOVERS,PARKER MACHINERY MOVERS,2030 HILLSIDE AVE,INDIANAPOLIS,46218,Marion IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,
AD0005401,BP0001580,D3,D3,P,D3,7-Territory,,,NAKOMA PRODUCTS LLC,NAKOMA PRODUCTS LLC,2855 N FRANKLIN RD,INDIANAPOLIS,46219,Marion IN,,$0,$0,$0,$204,$204,$0,$0,$204,$0,$4202,$204,,,
AD0001677,BP0001582,D3,D3,D3,P,1-Territory,,,ADVANCED RACING ENGINES & DESIGN LL,ADVANCED RACING ENGINES & DESIGN LL,4910 KAROBAR DRIVE,INDIANAPOLIS,46218,Marion IN,,$0,$0,$0,$0,$0,$9256,$0,$9256,$1895,$0,$7360,,,
AD0001709,BP0001614,D3,D3,D3,P,1-Territory,,,TRUSTY-COOK INC,TRUSTY-COOK INC,10530 EAST 59th ST,INDIANAPOLIS,46236,Marion IN,,$0,$0,$0,$2444,$2444,$0,$0,$2444,$1631,$0,$813,,,
AD0000001,BP0001641,A3,D3,P,P,4-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",MOORESVILLE BODY SHOP,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001744,BP0001649,D3,D3,D3,D3,1-Territory,,,J L WALTER,J L WALTER,2099 MONTCALM ST,INDIANAPOLIS,46202,Marion IN,,$0,$0,$664,$0,$664,$0,$0,$664,$88,$452,$576,,,
AD0001779,BP0001684,D3,D3,P,P,1-Territory,,,BUTLER UNIVERSITY,BUTLER UNIVERSITY,4602 SUNSET AVE,INDIANAPOLIS,46208,Marion IN,,$0,$0,$0,$0,$0,$482,$0,$482,$0,$0,$482,,,
